Trendline Scenarios,Min,Max
Rising Incomes,300,365
Aging Health Care,50,85
Technology Spending,20,50
Investment in Real Estate Construction,10,50
Investment in Infrastructure,10,30
Energy Transitions and Efficiency,0,10
Added Investment in Real Estate Construction,75,130
Added Investment in Infrastructure,40,70
Added Investment in Energy Transitions and Efficiency,0,10
Marketization of Unpaid Work,50,90
