state,year,alice,poverty
florida,2012,29,15
florida,2014,29,15
florida,2016,32,14
nassau,2012,23,11
nassau,2014,24,11
nassau,2016,17,11
glades,2012,41,18
glades,2014,47,22
glades,2016,49,21
